src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,0.4301,0.4059,0.285
5.0,5.0,25.0,-2.1137,-1.9758,-1.4005
5.0,5.0,35.0,-0.3531,-0.3388,-0.2282
5.0,5.0,45.0,-0.2602,-0.2484,-0.1664
5.0,5.0,55.0,-0.2901,-0.2738,-0.2088
5.0,5.0,65.0,-0.5593,-0.526,-0.3809
5.0,5.0,75.0,-4.8447,-4.5477,-3.1735
5.0,5.0,85.0,1.041,0.975,0.7045
5.0,5.0,95.0,0.556,0.5196,0.378
5.0,5.0,105.0,0.4144,0.3865,0.2789
5.0,5.0,115.0,0.3476,0.3238,0.237
5.0,5.0,125.0,0.3093,0.2878,0.2129
5.0,5.0,135.0,0.2847,0.2646,0.19
5.0,5.0,145.0,0.2676,0.2486,0.1748
5.0,15.0,25.0,-0.542,-0.5075,-0.364
5.0,15.0,35.0,-0.2582,-0.2486,-0.1682
5.0,15.0,45.0,-0.2206,-0.2108,-0.1305
5.0,15.0,55.0,-0.2591,-0.2444,-0.1827
5.0,15.0,65.0,-0.5012,-0.4711,-0.3379
5.0,15.0,75.0,-3.3073,-3.1031,-2.139
5.0,15.0,85.0,1.0876,1.0183,0.7305
5.0,15.0,95.0,0.5604,0.5235,0.3849
5.0,15.0,105.0,0.4145,0.3863,0.2771
5.0,15.0,115.0,0.3468,0.3229,0.2368
5.0,15.0,125.0,0.3083,0.2868,0.2114
5.0,15.0,135.0,0.2837,0.2637,0.1887
5.0,15.0,145.0,0.2668,0.2478,0.1748
5.0,25.0,35.0,-0.1925,-0.1898,-0.1272
5.0,25.0,45.0,-0.1889,-0.1819,-0.1202
5.0,25.0,55.0,-0.2388,-0.2259,-0.1688
5.0,25.0,65.0,-0.4986,-0.4694,-0.3544
5.0,25.0,75.0,-5.7803,-5.4273,-3.8452
5.0,25.0,85.0,0.916,0.8578,0.6276
5.0,25.0,95.0,0.5101,0.4764,0.3582
5.0,25.0,105.0,0.3878,0.3614,0.2585
5.0,25.0,115.0,0.3295,0.3067,0.226
5.0,25.0,125.0,0.2959,0.2751,0.198
5.0,25.0,135.0,0.2742,0.2548,0.1798
5.0,25.0,145.0,0.2592,0.2406,0.1678
5.0,35.0,45.0,-0.1917,-0.1815,-0.1282
5.0,35.0,55.0,-0.2621,-0.245,-0.1918
5.0,35.0,65.0,-0.7315,-0.6823,-0.5271
5.0,35.0,75.0,2.0013,1.8662,1.3864
5.0,35.0,85.0,0.5869,0.5466,0.4101
5.0,35.0,95.0,0.4011,0.3729,0.2732
5.0,35.0,105.0,0.3293,0.3057,0.2248
5.0,35.0,115.0,0.2915,0.2705,0.195
5.0,35.0,125.0,0.2687,0.2491,0.1761
5.0,35.0,135.0,0.2535,0.2349,0.1647
5.0,35.0,145.0,0.2427,0.2248,0.1559
5.0,45.0,55.0,-0.3806,-0.352,-0.274
5.0,45.0,65.0,19.731,18.2795,14.1092
5.0,45.0,75.0,0.5633,0.5227,0.3964
5.0,45.0,85.0,0.3613,0.3352,0.2466
5.0,45.0,95.0,0.2967,0.275,0.1986
5.0,45.0,105.0,0.2656,0.2459,0.1798
5.0,45.0,115.0,0.2474,0.229,0.1633
5.0,45.0,125.0,0.2357,0.2181,0.1526
5.0,45.0,135.0,0.2277,0.2106,0.1462
5.0,45.0,145.0,0.2218,0.2052,0.1414
5.0,55.0,65.0,0.4319,0.4005,0.2983
5.0,55.0,75.0,0.2865,0.2658,0.1891
5.0,55.0,85.0,0.246,0.2281,0.1629
5.0,55.0,95.0,0.2285,0.2116,0.151
5.0,55.0,105.0,0.2189,0.2025,0.1441
5.0,55.0,115.0,0.2129,0.1969,0.1377
5.0,55.0,125.0,0.2088,0.1931,0.1367
5.0,55.0,135.0,0.206,0.1904,0.1354
5.0,55.0,145.0,0.2038,0.1885,0.1373
5.0,65.0,75.0,0.2226,0.2067,0.1526
5.0,65.0,85.0,0.21,0.1948,0.1411
5.0,65.0,95.0,0.2046,0.1894,0.1343
5.0,65.0,105.0,0.2015,0.1863,0.1321
5.0,65.0,115.0,0.1995,0.1844,0.1317
5.0,65.0,125.0,0.1981,0.1832,0.1325
5.0,65.0,135.0,0.1972,0.1823,0.132
5.0,65.0,145.0,0.1965,0.1816,0.1348
5.0,75.0,85.0,0.2003,0.1856,0.1303
5.0,75.0,95.0,0.1981,0.1831,0.1278
5.0,75.0,105.0,0.1968,0.1818,0.1312
5.0,75.0,115.0,0.1958,0.1809,0.1321
5.0,75.0,125.0,0.1952,0.1803,0.1323
5.0,75.0,135.0,0.1948,0.18,0.1317
5.0,75.0,145.0,0.1945,0.1797,0.134
5.0,85.0,95.0,0.1963,0.1811,0.1238
5.0,85.0,105.0,0.1954,0.1802,0.1327
5.0,85.0,115.0,0.1947,0.1797,0.1334
5.0,85.0,125.0,0.1942,0.1794,0.1333
5.0,85.0,135.0,0.194,0.1792,0.1324
5.0,85.0,145.0,0.1938,0.179,0.1346
5.0,95.0,105.0,0.1946,0.1795,0.1357
5.0,95.0,115.0,0.194,0.1792,0.1353
5.0,95.0,125.0,0.1937,0.179,0.1343
5.0,95.0,135.0,0.1936,0.1788,0.1336
5.0,95.0,145.0,0.1935,0.1787,0.1352
5.0,105.0,115.0,0.1935,0.1789,0.1318
5.0,105.0,125.0,0.1933,0.1787,0.1334
5.0,105.0,135.0,0.1933,0.1787,0.1321
5.0,105.0,145.0,0.1932,0.1786,0.1351
5.0,115.0,125.0,0.1932,0.1786,0.1325
5.0,115.0,135.0,0.1933,0.1786,0.1312
5.0,115.0,145.0,0.1932,0.1785,0.1352
5.0,125.0,135.0,0.1934,0.1785,0.1297
5.0,125.0,145.0,0.1932,0.1785,0.1364
5.0,135.0,145.0,0.193,0.1785,0.1405
15.0,15.0,25.0,-0.0846,-0.0905,-0.0449
15.0,15.0,35.0,-0.0535,-0.0523,-0.0314
15.0,15.0,45.0,-0.0475,-0.0433,-0.0267
15.0,15.0,55.0,-0.0521,-0.0453,-0.0296
15.0,15.0,65.0,-0.0729,-0.0632,-0.0453
15.0,15.0,75.0,-0.1215,-0.1048,-0.0872
15.0,15.0,85.0,-0.2451,-0.2087,-0.1765
15.0,15.0,95.0,-0.8965,-0.749,-0.6414
15.0,15.0,105.0,0.9999,0.8214,0.6979
15.0,15.0,115.0,0.3916,0.318,0.285
15.0,15.0,125.0,0.2682,0.2161,0.1903
15.0,15.0,135.0,0.2158,0.1726,0.1555
15.0,15.0,145.0,0.1871,0.1487,0.1372
15.0,25.0,35.0,-0.0526,-0.0498,-0.0369
15.0,25.0,45.0,-0.0461,-0.0409,-0.0272
15.0,25.0,55.0,-0.0514,-0.0438,-0.0294
15.0,25.0,65.0,-0.0744,-0.0635,-0.0491
15.0,25.0,75.0,-0.1306,-0.1109,-0.0987
15.0,25.0,85.0,-0.2903,-0.2437,-0.2075
15.0,25.0,95.0,-1.9366,-1.5971,-1.3779
15.0,25.0,105.0,0.6511,0.5287,0.4661
15.0,25.0,115.0,0.3305,0.2657,0.2319
15.0,25.0,125.0,0.2414,0.1927,0.175
15.0,25.0,135.0,0.2001,0.1587,0.1453
15.0,25.0,145.0,0.1765,0.1393,0.13
