src,back_st,back_end,stdev,theo_err,mad_arr
50.0,70.0,72.0,0.0507,0.019,0.0164
50.0,70.0,73.0,0.0411,0.0173,0.0153
50.0,70.0,74.0,0.0367,0.0164,0.015
50.0,70.0,75.0,0.0337,0.0158,0.0153
50.0,70.0,76.0,0.0316,0.0154,0.0138
50.0,70.0,77.0,0.0301,0.0151,0.0135
50.0,70.0,78.0,0.0293,0.0149,0.013
50.0,70.0,79.0,0.0285,0.0147,0.0131
50.0,70.0,80.0,0.0281,0.0146,0.0129
50.0,70.0,81.0,0.0332,0.0144,0.0127
50.0,70.0,82.0,0.0322,0.0143,0.0128
50.0,70.0,83.0,0.0314,0.0142,0.013
50.0,71.0,73.0,0.0448,0.0185,0.0171
50.0,71.0,74.0,0.0381,0.0169,0.0154
50.0,71.0,75.0,0.0339,0.0161,0.0152
50.0,71.0,76.0,0.0314,0.0155,0.0138
50.0,71.0,77.0,0.0298,0.0152,0.0139
50.0,71.0,78.0,0.0289,0.0149,0.0137
50.0,71.0,79.0,0.0282,0.0147,0.0131
50.0,71.0,80.0,0.0278,0.0146,0.0126
50.0,71.0,81.0,0.0336,0.0144,0.0126
50.0,71.0,82.0,0.0325,0.0143,0.0128
50.0,71.0,83.0,0.0316,0.0142,0.0129
50.0,72.0,74.0,0.0359,0.018,0.0166
50.0,72.0,75.0,0.0313,0.0166,0.0152
50.0,72.0,76.0,0.0292,0.0158,0.0133
50.0,72.0,77.0,0.0282,0.0153,0.0139
50.0,72.0,78.0,0.0277,0.015,0.0135
50.0,72.0,79.0,0.0271,0.0148,0.013
50.0,72.0,80.0,0.0269,0.0146,0.013
50.0,72.0,81.0,0.0342,0.0144,0.0124
50.0,72.0,82.0,0.0328,0.0143,0.0125
50.0,72.0,83.0,0.0318,0.0142,0.0124
50.0,73.0,75.0,0.0288,0.0175,0.0147
50.0,73.0,76.0,0.0276,0.0162,0.0139
50.0,73.0,77.0,0.027,0.0156,0.0131
50.0,73.0,78.0,0.0268,0.0151,0.0126
50.0,73.0,79.0,0.0263,0.0148,0.0123
50.0,73.0,80.0,0.0263,0.0146,0.0125
50.0,73.0,81.0,0.0354,0.0145,0.0125
50.0,73.0,82.0,0.0337,0.0143,0.012
50.0,73.0,83.0,0.0325,0.0142,0.0123
50.0,74.0,76.0,0.0276,0.0171,0.0127
50.0,74.0,77.0,0.0271,0.016,0.0133
50.0,74.0,78.0,0.0268,0.0154,0.0126
50.0,74.0,79.0,0.0262,0.015,0.012
50.0,74.0,80.0,0.0263,0.0147,0.0125
50.0,74.0,81.0,0.0378,0.0145,0.0125
50.0,74.0,82.0,0.0354,0.0144,0.0123
50.0,74.0,83.0,0.0339,0.0142,0.0127
50.0,75.0,77.0,0.0281,0.0169,0.0133
50.0,75.0,78.0,0.0273,0.0158,0.0131
50.0,75.0,79.0,0.0264,0.0152,0.0126
50.0,75.0,80.0,0.0266,0.0149,0.0129
50.0,75.0,81.0,0.0411,0.0146,0.0129
50.0,75.0,82.0,0.0378,0.0144,0.0126
50.0,75.0,83.0,0.0356,0.0143,0.0128
50.0,76.0,78.0,0.0278,0.0167,0.0136
50.0,76.0,79.0,0.0265,0.0157,0.0125
50.0,76.0,80.0,0.0269,0.0151,0.0128
50.0,76.0,81.0,0.0459,0.0148,0.0131
50.0,76.0,82.0,0.041,0.0145,0.0128
50.0,76.0,83.0,0.038,0.0143,0.0126
50.0,77.0,79.0,0.0268,0.0165,0.0139
50.0,77.0,80.0,0.0277,0.0155,0.0137
50.0,77.0,81.0,0.0537,0.015,0.0137
50.0,77.0,82.0,0.0459,0.0147,0.0134
50.0,77.0,83.0,0.0414,0.0144,0.0129
50.0,78.0,80.0,0.0295,0.0163,0.0136
50.0,78.0,81.0,0.0676,0.0154,0.0141
50.0,78.0,82.0,0.0538,0.0149,0.0135
50.0,78.0,83.0,0.0466,0.0146,0.0129
50.0,79.0,81.0,0.0969,0.0161,0.0141
50.0,79.0,82.0,0.0679,0.0152,0.0141
50.0,79.0,83.0,0.055,0.0148,0.0148
50.0,80.0,82.0,0.0842,0.0159,0.0144
50.0,80.0,83.0,0.0618,0.0151,0.0152
50.0,81.0,83.0,0.0385,0.0158,0.0162
51.0,70.0,72.0,0.0508,0.0189,0.0156
51.0,70.0,73.0,0.0409,0.0172,0.0153
51.0,70.0,74.0,0.0364,0.0162,0.0151
51.0,70.0,75.0,0.0333,0.0156,0.0144
51.0,70.0,76.0,0.0312,0.0152,0.0143
51.0,70.0,77.0,0.0298,0.0149,0.0133
51.0,70.0,78.0,0.0289,0.0147,0.0138
51.0,70.0,79.0,0.0281,0.0145,0.0137
51.0,70.0,80.0,0.0277,0.0143,0.0135
51.0,70.0,81.0,0.0328,0.0142,0.0129
51.0,70.0,82.0,0.0318,0.0141,0.0127
51.0,70.0,83.0,0.031,0.014,0.0128
51.0,71.0,73.0,0.0446,0.0184,0.0171
51.0,71.0,74.0,0.0378,0.0168,0.0157
51.0,71.0,75.0,0.0335,0.0159,0.0151
51.0,71.0,76.0,0.031,0.0154,0.0141
51.0,71.0,77.0,0.0294,0.015,0.014
51.0,71.0,78.0,0.0285,0.0147,0.0139
51.0,71.0,79.0,0.0277,0.0145,0.0132
51.0,71.0,80.0,0.0273,0.0144,0.0126
51.0,71.0,81.0,0.0332,0.0142,0.0125
51.0,71.0,82.0,0.0321,0.0141,0.0126
51.0,71.0,83.0,0.0312,0.014,0.0126
51.0,72.0,74.0,0.0354,0.0179,0.0157
51.0,72.0,75.0,0.0308,0.0164,0.0154
51.0,72.0,76.0,0.0288,0.0156,0.0142
51.0,72.0,77.0,0.0277,0.0151,0.0138
51.0,72.0,78.0,0.0272,0.0148,0.0134
51.0,72.0,79.0,0.0266,0.0146,0.0133
51.0,72.0,80.0,0.0264,0.0144,0.0127
51.0,72.0,81.0,0.0338,0.0142,0.0124
51.0,72.0,82.0,0.0324,0.0141,0.0123
51.0,72.0,83.0,0.0315,0.014,0.0125
51.0,73.0,75.0,0.0285,0.0174,0.0149
51.0,73.0,76.0,0.0272,0.0161,0.0133
51.0,73.0,77.0,0.0267,0.0154,0.0132
51.0,73.0,78.0,0.0264,0.015,0.0131
51.0,73.0,79.0,0.0259,0.0147,0.013
51.0,73.0,80.0,0.0259,0.0144,0.0128
51.0,73.0,81.0,0.0351,0.0143,0.0122
51.0,73.0,82.0,0.0334,0.0141,0.0123
51.0,73.0,83.0,0.0322,0.014,0.0123
51.0,74.0,76.0,0.0272,0.017,0.0134
51.0,74.0,77.0,0.0267,0.0158,0.0132
51.0,74.0,78.0,0.0264,0.0152,0.0126
51.0,74.0,79.0,0.0258,0.0148,0.0121
51.0,74.0,80.0,0.0259,0.0145,0.0123
51.0,74.0,81.0,0.0375,0.0143,0.0123
51.0,74.0,82.0,0.0351,0.0142,0.0121
51.0,74.0,83.0,0.0336,0.014,0.0127
51.0,75.0,77.0,0.0278,0.0168,0.0133
51.0,75.0,78.0,0.0269,0.0156,0.0132
51.0,75.0,79.0,0.026,0.0151,0.0123
51.0,75.0,80.0,0.0262,0.0147,0.0129
51.0,75.0,81.0,0.0409,0.0144,0.0124
51.0,75.0,82.0,0.0375,0.0142,0.0124
51.0,75.0,83.0,0.0354,0.0141,0.0128
51.0,76.0,78.0,0.0274,0.0166,0.0137
51.0,76.0,79.0,0.0261,0.0155,0.0128
51.0,76.0,80.0,0.0265,0.0149,0.0124
51.0,76.0,81.0,0.0457,0.0146,0.0128
51.0,76.0,82.0,0.0408,0.0143,0.0125
51.0,76.0,83.0,0.0378,0.0141,0.0129
51.0,77.0,79.0,0.0263,0.0164,0.0135
51.0,77.0,80.0,0.0273,0.0154,0.0128
51.0,77.0,81.0,0.0536,0.0148,0.013
51.0,77.0,82.0,0.0457,0.0145,0.0131
51.0,77.0,83.0,0.0413,0.0142,0.0132
51.0,78.0,80.0,0.0292,0.0162,0.0134
51.0,78.0,81.0,0.0676,0.0152,0.0136
51.0,78.0,82.0,0.0537,0.0147,0.0129
51.0,78.0,83.0,0.0465,0.0144,0.0136
51.0,79.0,81.0,0.0971,0.016,0.0139
51.0,79.0,82.0,0.0679,0.0151,0.0136
51.0,79.0,83.0,0.055,0.0146,0.0137
51.0,80.0,82.0,0.0843,0.0158,0.0142
51.0,80.0,83.0,0.0619,0.0149,0.0148
51.0,81.0,83.0,0.0386,0.0156,0.0152
52.0,70.0,72.0,0.0507,0.0189,0.0158
52.0,70.0,73.0,0.0407,0.0171,0.0153
52.0,70.0,74.0,0.0362,0.0161,0.0147
52.0,70.0,75.0,0.033,0.0155,0.0146
52.0,70.0,76.0,0.0309,0.0151,0.0141
52.0,70.0,77.0,0.0294,0.0147,0.0132
52.0,70.0,78.0,0.0285,0.0145,0.0132
52.0,70.0,79.0,0.0277,0.0143,0.013
52.0,70.0,80.0,0.0272,0.0142,0.0133
52.0,70.0,81.0,0.0324,0.014,0.0125
52.0,70.0,82.0,0.0313,0.0139,0.0124
52.0,70.0,83.0,0.0306,0.0139,0.0126
52.0,71.0,73.0,0.0445,0.0183,0.0169
52.0,71.0,74.0,0.0376,0.0167,0.0156
52.0,71.0,75.0,0.0333,0.0158,0.0152
52.0,71.0,76.0,0.0307,0.0152,0.0139
52.0,71.0,77.0,0.0291,0.0148,0.0131
52.0,71.0,78.0,0.0281,0.0146,0.0136
52.0,71.0,79.0,0.0273,0.0144,0.0133
52.0,71.0,80.0,0.0269,0.0142,0.0129
52.0,71.0,81.0,0.0328,0.014,0.0124
52.0,71.0,82.0,0.0316,0.0139,0.0131
52.0,71.0,83.0,0.0308,0.0138,0.0129
52.0,72.0,74.0,0.0352,0.0178,0.0161
52.0,72.0,75.0,0.0305,0.0163,0.0149
52.0,72.0,76.0,0.0284,0.0155,0.0136
52.0,72.0,77.0,0.0274,0.015,0.0139
52.0,72.0,78.0,0.0268,0.0147,0.0135
52.0,72.0,79.0,0.0262,0.0144,0.0132
52.0,72.0,80.0,0.026,0.0142,0.0125
52.0,72.0,81.0,0.0334,0.0141,0.0124
52.0,72.0,82.0,0.032,0.0139,0.0128
52.0,72.0,83.0,0.031,0.0138,0.0128
52.0,73.0,75.0,0.0282,0.0173,0.014
52.0,73.0,76.0,0.0269,0.0159,0.0131
52.0,73.0,77.0,0.0263,0.0152,0.0128
52.0,73.0,78.0,0.026,0.0148,0.0125
52.0,73.0,79.0,0.0255,0.0145,0.0126
52.0,73.0,80.0,0.0255,0.0143,0.0119
52.0,73.0,81.0,0.0347,0.0141,0.0122
52.0,73.0,82.0,0.033,0.014,0.0123
52.0,73.0,83.0,0.0318,0.0138,0.013
52.0,74.0,76.0,0.0268,0.0169,0.0129
52.0,74.0,77.0,0.0263,0.0157,0.0129
52.0,74.0,78.0,0.026,0.0151,0.0123
52.0,74.0,79.0,0.0254,0.0146,0.0119
52.0,74.0,80.0,0.0254,0.0144,0.012
52.0,74.0,81.0,0.0371,0.0142,0.0122
52.0,74.0,82.0,0.0347,0.014,0.0121
52.0,74.0,83.0,0.0332,0.0139,0.0127
52.0,75.0,77.0,0.0274,0.0167,0.0135
52.0,75.0,78.0,0.0265,0.0155,0.0128
52.0,75.0,79.0,0.0256,0.0149,0.012
52.0,75.0,80.0,0.0257,0.0145,0.0125
52.0,75.0,81.0,0.0406,0.0143,0.0127
52.0,75.0,82.0,0.0372,0.0141,0.0125
52.0,75.0,83.0,0.035,0.0139,0.0127
52.0,76.0,78.0,0.0271,0.0165,0.0133
52.0,76.0,79.0,0.0257,0.0154,0.0124
52.0,76.0,80.0,0.026,0.0148,0.0126
52.0,76.0,81.0,0.0455,0.0144,0.0121
52.0,76.0,82.0,0.0405,0.0142,0.0121
52.0,76.0,83.0,0.0375,0.014,0.0123
52.0,77.0,79.0,0.0259,0.0163,0.013
52.0,77.0,80.0,0.0268,0.0152,0.0127
52.0,77.0,81.0,0.0535,0.0147,0.0125
52.0,77.0,82.0,0.0455,0.0143,0.0121
52.0,77.0,83.0,0.041,0.0141,0.0121
52.0,78.0,80.0,0.0287,0.0161,0.0137
52.0,78.0,81.0,0.0676,0.0151,0.0129
52.0,78.0,82.0,0.0535,0.0145,0.0127
52.0,78.0,83.0,0.0463,0.0142,0.0131
52.0,79.0,81.0,0.0975,0.0158,0.0135
52.0,79.0,82.0,0.068,0.0149,0.013
52.0,79.0,83.0,0.055,0.0144,0.0132
52.0,80.0,82.0,0.0846,0.0157,0.0139
52.0,80.0,83.0,0.0619,0.0148,0.0141
52.0,81.0,83.0,0.0386,0.0155,0.0148
53.0,70.0,72.0,0.051,0.0188,0.0156
53.0,70.0,73.0,0.0407,0.017,0.0158
53.0,70.0,74.0,0.0361,0.016,0.0148
53.0,70.0,75.0,0.0329,0.0154,0.0143
53.0,70.0,76.0,0.0306,0.0149,0.0138
53.0,70.0,77.0,0.0291,0.0146,0.0134
53.0,70.0,78.0,0.0282,0.0144,0.0133
53.0,70.0,79.0,0.0274,0.0142,0.0127
53.0,70.0,80.0,0.0269,0.014,0.0126
53.0,70.0,81.0,0.0321,0.0139,0.0125
53.0,70.0,82.0,0.031,0.0138,0.0129
53.0,70.0,83.0,0.0303,0.0137,0.0129
53.0,71.0,73.0,0.0446,0.0183,0.0174
53.0,71.0,74.0,0.0376,0.0166,0.0154
53.0,71.0,75.0,0.0332,0.0157,0.0149
53.0,71.0,76.0,0.0305,0.0151,0.0138
53.0,71.0,77.0,0.0288,0.0147,0.0134
53.0,71.0,78.0,0.0279,0.0144,0.0131
53.0,71.0,79.0,0.027,0.0142,0.0127
53.0,71.0,80.0,0.0265,0.014,0.0127
53.0,71.0,81.0,0.0325,0.0139,0.0127
53.0,71.0,82.0,0.0313,0.0138,0.0126
53.0,71.0,83.0,0.0305,0.0137,0.0127
53.0,72.0,74.0,0.0352,0.0178,0.0157
53.0,72.0,75.0,0.0303,0.0162,0.0145
53.0,72.0,76.0,0.0281,0.0154,0.0133
53.0,72.0,77.0,0.027,0.0149,0.0134
53.0,72.0,78.0,0.0265,0.0145,0.0135
53.0,72.0,79.0,0.0259,0.0143,0.0127
53.0,72.0,80.0,0.0256,0.0141,0.0126
53.0,72.0,81.0,0.0331,0.0139,0.0128
53.0,72.0,82.0,0.0317,0.0138,0.0126
53.0,72.0,83.0,0.0307,0.0137,0.0126
53.0,73.0,75.0,0.0279,0.0173,0.0141
53.0,73.0,76.0,0.0266,0.0159,0.0131
53.0,73.0,77.0,0.0259,0.0151,0.0129
53.0,73.0,78.0,0.0256,0.0147,0.0128
53.0,73.0,79.0,0.0251,0.0144,0.0124
53.0,73.0,80.0,0.025,0.0141,0.0125
53.0,73.0,81.0,0.0345,0.014,0.0121
53.0,73.0,82.0,0.0327,0.0138,0.012
53.0,73.0,83.0,0.0315,0.0137,0.0122
53.0,74.0,76.0,0.0265,0.0168,0.0128
53.0,74.0,77.0,0.026,0.0156,0.0124
53.0,74.0,78.0,0.0256,0.0149,0.0125
53.0,74.0,79.0,0.025,0.0145,0.0118
53.0,74.0,80.0,0.025,0.0142,0.0115
53.0,74.0,81.0,0.0369,0.014,0.0118
53.0,74.0,82.0,0.0345,0.0138,0.012
53.0,74.0,83.0,0.0329,0.0137,0.0122
53.0,75.0,77.0,0.0271,0.0166,0.0132
53.0,75.0,78.0,0.0262,0.0154,0.0128
