src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,-0.6263,-0.5879,-0.3968
5.0,5.0,25.0,-0.227,-0.2204,-0.1362
5.0,5.0,35.0,-1.2667,-1.212,-0.8255
5.0,5.0,45.0,0.6203,0.5946,0.3924
5.0,5.0,55.0,0.3404,0.3259,0.217
5.0,5.0,65.0,0.2696,0.2575,0.1696
5.0,5.0,75.0,0.2382,0.2273,0.1514
5.0,5.0,85.0,0.2209,0.2107,0.1378
5.0,5.0,95.0,0.2102,0.2004,0.1321
5.0,5.0,105.0,0.203,0.1934,0.1275
5.0,5.0,115.0,0.198,0.1886,0.124
5.0,5.0,125.0,0.1942,0.185,0.1203
5.0,5.0,135.0,0.1914,0.1822,0.118
5.0,5.0,145.0,0.1892,0.1801,0.1173
5.0,15.0,25.0,-0.1743,-0.1729,-0.102
5.0,15.0,35.0,-1.6572,-1.5943,-1.0345
5.0,15.0,45.0,0.5022,0.4828,0.311
5.0,15.0,55.0,0.305,0.2926,0.1866
5.0,15.0,65.0,0.2508,0.2398,0.1543
5.0,15.0,75.0,0.2262,0.216,0.143
5.0,15.0,85.0,0.2124,0.2026,0.1343
5.0,15.0,95.0,0.2038,0.1943,0.1288
5.0,15.0,105.0,0.198,0.1887,0.124
5.0,15.0,115.0,0.1939,0.1847,0.1212
5.0,15.0,125.0,0.1909,0.1818,0.1176
5.0,15.0,135.0,0.1885,0.1796,0.1159
5.0,15.0,145.0,0.1868,0.1778,0.1152
5.0,25.0,35.0,0.3541,0.3338,0.2141
5.0,25.0,45.0,0.2378,0.2265,0.1439
5.0,25.0,55.0,0.2093,0.1995,0.1292
5.0,25.0,65.0,0.1976,0.1881,0.1267
5.0,25.0,75.0,0.1913,0.1821,0.1217
5.0,25.0,85.0,0.1875,0.1784,0.1179
5.0,25.0,95.0,0.185,0.1759,0.1153
5.0,25.0,105.0,0.1832,0.1742,0.1131
5.0,25.0,115.0,0.1819,0.173,0.1132
5.0,25.0,125.0,0.1809,0.1721,0.1132
5.0,25.0,135.0,0.1801,0.1714,0.112
5.0,25.0,145.0,0.1796,0.1708,0.1114
5.0,35.0,45.0,0.1907,0.183,0.118
5.0,35.0,55.0,0.1842,0.1761,0.1139
5.0,35.0,65.0,0.1817,0.1731,0.1167
5.0,35.0,75.0,0.1801,0.1715,0.1145
5.0,35.0,85.0,0.1791,0.1705,0.112
5.0,35.0,95.0,0.1785,0.1698,0.1112
5.0,35.0,105.0,0.178,0.1693,0.1102
5.0,35.0,115.0,0.1776,0.169,0.11
5.0,35.0,125.0,0.1773,0.1687,0.109
5.0,35.0,135.0,0.1771,0.1685,0.1083
5.0,35.0,145.0,0.177,0.1684,0.1081
5.0,45.0,55.0,0.1796,0.1712,0.1091
5.0,45.0,65.0,0.1787,0.1699,0.1129
5.0,45.0,75.0,0.1781,0.1692,0.1127
5.0,45.0,85.0,0.1775,0.1688,0.1114
5.0,45.0,95.0,0.1772,0.1685,0.1113
5.0,45.0,105.0,0.177,0.1683,0.1117
5.0,45.0,115.0,0.1768,0.1681,0.1104
5.0,45.0,125.0,0.1766,0.168,0.1086
5.0,45.0,135.0,0.1765,0.1679,0.1079
5.0,45.0,145.0,0.1765,0.1678,0.1079
5.0,55.0,65.0,0.1781,0.169,0.1125
5.0,55.0,75.0,0.1775,0.1686,0.1112
5.0,55.0,85.0,0.1771,0.1683,0.11
5.0,55.0,95.0,0.1769,0.1681,0.1101
5.0,55.0,105.0,0.1767,0.1679,0.1109
5.0,55.0,115.0,0.1766,0.1678,0.1095
5.0,55.0,125.0,0.1764,0.1677,0.108
5.0,55.0,135.0,0.1763,0.1677,0.1072
5.0,55.0,145.0,0.1763,0.1676,0.1076
5.0,65.0,75.0,0.1771,0.1683,0.1104
5.0,65.0,85.0,0.1767,0.168,0.1088
5.0,65.0,95.0,0.1766,0.1679,0.1085
5.0,65.0,105.0,0.1764,0.1677,0.1105
5.0,65.0,115.0,0.1764,0.1677,0.1088
5.0,65.0,125.0,0.1763,0.1676,0.1074
5.0,65.0,135.0,0.1762,0.1676,0.1072
5.0,65.0,145.0,0.1762,0.1675,0.1074
5.0,75.0,85.0,0.1764,0.1679,0.1089
5.0,75.0,95.0,0.1764,0.1677,0.1061
5.0,75.0,105.0,0.1763,0.1676,0.1095
5.0,75.0,115.0,0.1763,0.1676,0.1088
5.0,75.0,125.0,0.1762,0.1675,0.1082
5.0,75.0,135.0,0.1761,0.1675,0.1079
5.0,75.0,145.0,0.1762,0.1675,0.1079
