src,back_st,back_end,stdev,theo_err,mad_arr
5.0,5.0,15.0,0.3801,0.386,0.2689
5.0,5.0,25.0,-1.8737,-1.8592,-1.3002
5.0,5.0,35.0,-0.3222,-0.3219,-0.2276
5.0,5.0,45.0,-0.2338,-0.2361,-0.1584
5.0,5.0,55.0,-0.2569,-0.2605,-0.1826
5.0,5.0,65.0,-0.507,-0.5021,-0.356
5.0,5.0,75.0,-4.3807,-4.3745,-3.2143
5.0,5.0,85.0,0.9229,0.9255,0.6728
5.0,5.0,95.0,0.4916,0.4937,0.364
5.0,5.0,105.0,0.3658,0.3673,0.265
5.0,5.0,115.0,0.3066,0.3078,0.2248
5.0,5.0,125.0,0.2727,0.2736,0.1989
5.0,5.0,135.0,0.251,0.2516,0.1834
5.0,5.0,145.0,0.2361,0.2364,0.172
5.0,15.0,25.0,-0.4929,-0.4807,-0.3518
5.0,15.0,35.0,-0.2378,-0.2362,-0.1661
5.0,15.0,45.0,-0.1987,-0.2003,-0.1366
5.0,15.0,55.0,-0.2296,-0.2326,-0.1632
5.0,15.0,65.0,-0.4557,-0.4496,-0.3214
5.0,15.0,75.0,-2.9855,-2.9756,-2.1907
5.0,15.0,85.0,0.9648,0.9664,0.7056
5.0,15.0,95.0,0.4957,0.4973,0.3634
5.0,15.0,105.0,0.3659,0.3672,0.2636
5.0,15.0,115.0,0.3059,0.307,0.2229
5.0,15.0,125.0,0.2719,0.2726,0.1984
5.0,15.0,135.0,0.2502,0.2507,0.1839
5.0,15.0,145.0,0.2353,0.2355,0.1722
5.0,25.0,35.0,-0.1804,-0.1804,-0.1249
5.0,25.0,45.0,-0.1706,-0.173,-0.1167
5.0,25.0,55.0,-0.2114,-0.215,-0.1513
5.0,25.0,65.0,-0.4572,-0.4484,-0.3214
5.0,25.0,75.0,-5.2911,-5.265,-3.8304
5.0,25.0,85.0,0.8128,0.814,0.5865
5.0,25.0,95.0,0.451,0.4526,0.3272
5.0,25.0,105.0,0.3421,0.3435,0.245
5.0,25.0,115.0,0.2905,0.2915,0.2124
5.0,25.0,125.0,0.2607,0.2615,0.193
5.0,25.0,135.0,0.2417,0.2422,0.1793
5.0,25.0,145.0,0.2285,0.2287,0.1682
5.0,35.0,45.0,-0.1691,-0.1726,-0.1148
5.0,35.0,55.0,-0.2288,-0.2332,-0.1616
5.0,35.0,65.0,-0.6764,-0.6541,-0.4647
5.0,35.0,75.0,1.7781,1.7611,1.256
5.0,35.0,85.0,0.5192,0.519,0.3732
5.0,35.0,95.0,0.3534,0.3543,0.2558
5.0,35.0,105.0,0.2896,0.2905,0.2102
5.0,35.0,115.0,0.2563,0.2571,0.1866
5.0,35.0,125.0,0.2362,0.2368,0.1709
5.0,35.0,135.0,0.2229,0.2233,0.1631
5.0,35.0,145.0,0.2136,0.2137,0.156
5.0,45.0,55.0,-0.3307,-0.3358,-0.2228
5.0,45.0,65.0,14.588,13.4322,9.4037
5.0,45.0,75.0,0.5084,0.4957,0.3501
5.0,45.0,85.0,0.3208,0.3184,0.228
5.0,45.0,95.0,0.2616,0.2613,0.1896
5.0,45.0,105.0,0.2335,0.2337,0.1684
5.0,45.0,115.0,0.2174,0.2177,0.1569
5.0,45.0,125.0,0.2071,0.2073,0.1493
5.0,45.0,135.0,0.2002,0.2002,0.1441
5.0,45.0,145.0,0.1951,0.195,0.1406
5.0,55.0,65.0,0.5002,0.3775,0.2659
5.0,55.0,75.0,0.2695,0.2526,0.1793
5.0,55.0,85.0,0.2213,0.2168,0.1549
5.0,55.0,95.0,0.2026,0.2011,0.1432
